num_layers,num_nodes,learning_rate,epochs,optimizer,num_splits,test_loss,r2
3,256,0.01,100,ADAM,5,0.0156553257256746,0.9738641056678924
3,256,0.01,100,ADAM,10,0.0368904061615467,0.9375489435102324
3,256,0.01,500,SGD,5,0.0086516793817281,0.9881585313714192
3,256,0.01,500,SGD,10,0.0076720458455383,0.9891889734217756
3,256,0.01,500,RMSprop,5,0.0858370289206504,0.8682198786886343
3,256,0.01,500,RMSprop,10,0.055089209228754,0.9053351506901384
3,256,0.01,500,ADAM,5,0.0257937628775835,0.958815903703505
3,256,0.01,500,ADAM,10,0.0307944826781749,0.954273258120939
3,256,0.001,50,SGD,5,0.1970290094614029,0.6021269001109527
3,256,0.001,50,SGD,10,0.0466069430112838,0.9083251274301736
3,256,0.001,50,RMSprop,5,0.0147810587659478,0.9773551329760676
3,256,0.001,50,RMSprop,10,0.0169808156788349,0.9745111683356004
3,256,0.001,50,ADAM,5,0.0060573420487344,0.9912890909653388
3,256,0.001,50,ADAM,10,0.0087198400869965,0.9873810283794988
3,256,0.001,100,SGD,5,0.0583734549582004,0.8812211851840349
3,256,0.001,100,SGD,10,0.0097754718735814,0.9867960078013264
3,256,0.001,100,RMSprop,5,0.0302068833261728,0.9550250254370756
3,256,0.001,100,RMSprop,10,0.0213359482586383,0.9658267381900828
3,256,0.001,100,ADAM,5,0.0054170209914445,0.9919766343438278
3,256,0.001,100,ADAM,10,0.0057620094157755,0.9913193949759114
3,256,0.001,500,SGD,5,0.0103769954293966,0.9858805190355268
3,256,0.001,500,SGD,10,0.0087888510897755,0.9879572100078948
3,256,0.001,500,RMSprop,5,0.0164232458919286,0.9734289699447308
3,256,0.001,500,RMSprop,10,0.0214385241270065,0.9650017530671652
3,256,0.001,500,ADAM,5,0.0058932416141033,0.9913131757971116
3,256,0.001,500,ADAM,10,0.0062276413664221,0.990741773743011
3,256,0.0001,50,SGD,5,0.6007691025733948,-0.0084883511520126
3,256,0.0001,50,SGD,10,0.554908812046051,0.0594268368505596
3,256,0.0001,50,RMSprop,5,0.0045331362634897,0.992900101168278
3,256,0.0001,50,RMSprop,10,0.0038631581701338,0.9940010829773444
3,256,0.0001,50,ADAM,5,0.0047979382798075,0.9929376377696242
3,256,0.0001,50,ADAM,10,0.0038920284714549,0.994070656429325
3,256,0.0001,100,SGD,5,0.5659806132316589,0.0456758376271091
3,256,0.0001,100,SGD,10,0.473012775182724,0.1789818883161665
3,256,0.0001,100,RMSprop,5,0.0066865961998701,0.9899714996840382
3,256,0.0001,100,RMSprop,10,0.0052052270621061,0.991633854952732
3,256,0.0001,100,ADAM,5,0.0049664992839097,0.9924500463529982
3,256,0.0001,100,ADAM,10,0.0048366785049438,0.9926781610282336
3,256,0.0001,500,SGD,5,0.2425112426280975,0.5419780117684023
3,256,0.0001,500,SGD,10,0.0696306526660919,0.8549959811354828
3,256,0.0001,500,RMSprop,5,0.0083688087761402,0.9876168016298692
3,256,0.0001,500,RMSprop,10,0.0046272655017673,0.9929527215571522
3,256,0.0001,500,ADAM,5,0.0044616060331463,0.9934796991178606
3,256,0.0001,500,ADAM,10,0.003777764737606,0.9941638658461884
3,256,1e-05,50,SGD,5,0.6304365396499634,-0.0810105436843175
3,256,1e-05,50,SGD,10,0.6481624841690063,-0.1183195291739178
3,256,1e-05,50,RMSprop,5,0.0090447384864091,0.987774751615898
3,256,1e-05,50,RMSprop,10,0.0066624330356717,0.9906615834499148
3,256,1e-05,50,ADAM,5,0.007296250667423,0.9895049029246464
3,256,1e-05,50,ADAM,10,0.0087387338280677,0.9878524428703628
3,256,1e-05,100,SGD,5,0.6283689737319946,-0.0568388118417787
3,256,1e-05,100,SGD,10,0.6447741985321045,-0.0836061702023677
3,256,1e-05,100,RMSprop,5,0.0072244368493556,0.989972885091788
3,256,1e-05,100,RMSprop,10,0.0059439078904688,0.9916111167459468
3,256,1e-05,100,ADAM,5,0.007889088243246,0.989122513133956
3,256,1e-05,100,ADAM,10,0.006456394214183,0.990637472992554
3,256,1e-05,500,SGD,5,0.6144744753837585,-0.031800845001628
3,256,1e-05,500,SGD,10,0.5695601105690002,0.0469846836365766
3,256,1e-05,500,RMSprop,5,0.006489101331681,0.9909591561131356
3,256,1e-05,500,RMSprop,10,0.0052463114261627,0.9924022059903372
3,256,1e-05,500,ADAM,5,0.0062660430558025,0.9909670844519672
3,256,1e-05,500,ADAM,10,0.0048474548384547,0.9930298680677324
3,512,0.01,50,SGD,5,0.0087541341781616,0.9881357062837992
